11510 22800
-0.456242 0.439778 0.226168
-0.475396 0.438050 0.207533
-0.504797 0.439215 0.179146
-0.542380 0.445596 0.140502
-0.149022 0.440439 0.324617
-0.156176 0.445740 0.320965
-0.156545 0.440184 0.321266
-0.578759 0.453268 0.091975
-0.554344 0.519165 0.124205
-0.586189 0.427025 0.087238
-0.614728 0.286636 0.096170
-0.593712 0.391291 0.087811
-0.603761 0.345809 0.091087
-0.618703 0.214176 0.100398
-0.571973 0.471465 0.099410
-0.080569 0.429631 0.385282
-0.068583 0.486545 0.381759
-0.060761 0.433551 0.407477
-0.050011 0.479450 0.396543
-0.037453 0.438632 0.423215
-0.030389 0.477023 0.406914
-0.010621 0.440414 0.430557
-0.007968 0.477180 0.411618
-0.093866 0.550132 0.379460
-0.140341 0.562575 0.369831
-0.282554 0.589252 0.360218
-0.425421 0.585479 0.301606
-0.208479 0.578175 0.365569
-0.355420 0.590331 0.342439
-0.489082 0.587022 0.234621
-0.535346 0.591879 0.150654
-0.065022 0.536703 0.387024
-0.044810 0.527628 0.393989
-0.025461 0.523061 0.400061
-0.005837 0.522257 0.403045
-0.098806 0.590453 0.392474
-0.155280 0.597178 0.383252
-0.304194 0.625618 0.356981
-0.432102 0.626553 0.284881
-0.231890 0.613776 0.373950
-0.370714 0.625175 0.329896
-0.484443 0.634652 0.221027
-0.525922 0.647785 0.147364
-0.067605 0.580722 0.396632
-0.043831 0.571623 0.399925
-0.023216 0.566430 0.402821
-0.004409 0.565102 0.404275
-0.100123 0.639841 0.402963
-0.167297 0.658192 0.393183
-0.319675 0.677829 0.341466
-0.436206 0.677395 0.259399
-0.248899 0.669712 0.371403
-0.381492 0.678209 0.305914
-0.484242 0.680246 0.199812
-0.526108 0.693477 0.132216
-0.065135 0.620688 0.405180
-0.041951 0.608105 0.406401
-0.023522 0.601985 0.407328
-0.004869 0.601546 0.407991
-0.070531 0.675343 0.407011
-0.045672 0.646184 0.409228
-0.029985 0.627125 0.409444
-0.018954 0.673896 0.409501
-0.012360 0.649785 0.410769
-0.007101 0.628636 0.410306
-0.237674 0.419608 0.328434
-0.317690 0.407601 0.321153
-0.386888 0.429559 0.282345
-0.180111 0.471085 0.319546
-0.260550 0.510428 0.337055
-0.356223 0.495577 0.313114
-0.414024 0.463466 0.259967
-0.218412 0.498872 0.330295
-0.307168 0.507187 0.332155
-0.392842 0.481008 0.287014
-0.193399 0.431971 0.322463
-0.277380 0.409730 0.327404
-0.356519 0.415861 0.304651
-0.416396 0.448424 0.254671
-0.406771 0.441962 0.264285
-0.165045 0.441033 0.316786
-0.162559 0.449592 0.315717
-0.236083 0.429785 0.324224
-0.317005 0.418916 0.315345
-0.386524 0.441616 0.274617
-0.179875 0.468552 0.313494
-0.259618 0.507532 0.331465
-0.355540 0.493390 0.307936
-0.411969 0.464886 0.256683
-0.216963 0.495321 0.324641
-0.306571 0.504762 0.327279
-0.392120 0.479098 0.280222
-0.192926 0.438327 0.315826
-0.276599 0.420827 0.323344
-0.355218 0.428206 0.296864
